# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DDVEC    = Vector mean wind direction in degrees (360=north, 90=east, 180=south, 270=west, 0=calm/variable); 
# 
# STN,YYYYMMDD,DDVEC
# 
  260,20140101,  173
  260,20140102,  192
  260,20140103,  202
  260,20140104,  169
  260,20140105,  199
  260,20140106,  196
  260,20140107,  206
  260,20140108,  217
  260,20140109,  233
  260,20140110,  228
  260,20140111,  237
  260,20140112,  159
  260,20140113,  202
  260,20140114,  167
  260,20140115,  171
  260,20140116,  172
  260,20140117,  182
  260,20140118,  138
  260,20140119,  124
  260,20140120,   29
  260,20140121,  201
  260,20140122,  158
  260,20140123,  175
  260,20140124,  165
  260,20140125,  179
  260,20140126,  218
  260,20140127,  201
  260,20140128,  149
  260,20140129,   91
  260,20140130,   88
  260,20140131,  159
  260,20140201,  187
  260,20140202,  193
  260,20140203,  136
  260,20140204,  162
  260,20140205,  169
  260,20140206,  191
  260,20140207,  209
  260,20140208,  184
  260,20140209,  211
  260,20140210,  166
  260,20140211,  213
  260,20140212,  193
  260,20140213,  210
  260,20140214,  169
  260,20140215,  219
  260,20140216,  232
  260,20140217,  178
  260,20140218,  170
  260,20140219,  229
  260,20140220,  190
  260,20140221,  226
  260,20140222,  208
  260,20140223,  180
  260,20140224,  163
  260,20140225,  175
  260,20140226,  205
  260,20140227,  180
  260,20140228,  103
  260,20140301,  144
  260,20140302,  189
  260,20140303,  148
  260,20140304,  188
  260,20140305,  300
  260,20140306,  178
  260,20140307,  213
  260,20140308,  138
  260,20140309,  168
  260,20140310,    8
  260,20140311,   43
  260,20140312,   73
  260,20140313,  351
  260,20140314,  258
  260,20140315,  290
  260,20140316,  279
  260,20140317,  267
  260,20140318,  246
  260,20140319,  253
  260,20140320,  200
  260,20140321,  236
  260,20140322,  212
  260,20140323,  232
  260,20140324,  355
  260,20140325,   73
  260,20140326,    6
  260,20140327,   80
  260,20140328,   87
  260,20140329,  109
  260,20140330,  119
  260,20140331,  108
  260,20140401,  246
  260,20140402,   62
  260,20140403,  133
  260,20140404,  252
  260,20140405,  229
  260,20140406,  206
  260,20140407,  197
  260,20140408,  262
  260,20140409,  266
  260,20140410,  272
  260,20140411,  358
  260,20140412,  258
  260,20140413,  274
  260,20140414,  317
  260,20140415,  351
  260,20140416,  140
  260,20140417,  235
  260,20140418,  342
  260,20140419,   62
  260,20140420,   82
  260,20140421,   73
  260,20140422,  202
  260,20140423,  109
  260,20140424,    5
  260,20140425,  102
  260,20140426,  180
  260,20140427,  108
  260,20140428,   48
  260,20140429,  327
  260,20140430,  299
  260,20140501,    5
  260,20140502,   26
  260,20140503,   15
  260,20140504,   21
  260,20140505,  138
  260,20140506,  213
  260,20140507,  233
  260,20140508,  223
  260,20140509,  246
  260,20140510,  215
  260,20140511,  236
  260,20140512,  268
  260,20140513,  337
  260,20140514,  333
  260,20140515,   10
  260,20140516,   32
  260,20140517,   30
  260,20140518,  117
  260,20140519,  118
  260,20140520,  171
  260,20140521,  148
  260,20140522,  182
  260,20140523,  167
  260,20140524,  173
  260,20140525,  210
  260,20140526,   47
  260,20140527,   12
  260,20140528,   73
  260,20140529,   77
  260,20140530,   59
  260,20140531,  353
  260,20140601,  335
  260,20140602,  284
  260,20140603,  233
  260,20140604,  179
  260,20140605,  225
  260,20140606,  143
  260,20140607,   69
  260,20140608,   21
  260,20140609,   90
  260,20140610,  239
  260,20140611,  297
  260,20140612,    4
  260,20140613,  334
  260,20140614,  352
  260,20140615,  343
  260,20140616,  341
  260,20140617,  354
  260,20140618,  351
  260,20140619,  311
  260,20140620,  316
  260,20140621,  289
  260,20140622,  334
  260,20140623,  360
  260,20140624,   13
  260,20140625,  357
  260,20140626,  348
  260,20140627,  211
  260,20140628,  251
  260,20140629,  295
  260,20140630,  309
  260,20140701,  337
  260,20140702,  318
  260,20140703,  222
  260,20140704,  178
  260,20140705,  202
  260,20140706,  198
  260,20140707,  222
  260,20140708,  327
  260,20140709,  328
  260,20140710,  325
  260,20140711,  251
  260,20140712,  275
  260,20140713,  234
  260,20140714,  259
  260,20140715,  230
  260,20140716,  207
  260,20140717,   42
  260,20140718,  107
  260,20140719,  139
  260,20140720,  319
  260,20140721,  338
  260,20140722,   31
  260,20140723,   53
  260,20140724,   56
  260,20140725,   42
  260,20140726,  297
  260,20140727,  312
  260,20140728,   43
  260,20140729,    1
  260,20140730,  303
  260,20140731,  199
  260,20140801,  200
  260,20140802,  135
  260,20140803,  246
  260,20140804,  279
  260,20140805,  186
  260,20140806,  166
  260,20140807,  171
  260,20140808,  106
  260,20140809,  234
  260,20140810,  187
  260,20140811,  220
  260,20140812,  217
  260,20140813,  230
  260,20140814,  244
  260,20140815,  299
  260,20140816,  254
  260,20140817,  220
  260,20140818,  256
  260,20140819,  249
  260,20140820,  251
  260,20140821,  229
  260,20140822,  219
  260,20140823,  260
  260,20140824,  255
  260,20140825,  114
  260,20140826,   63
  260,20140827,  107
  260,20140828,  184
  260,20140829,  226
  260,20140830,  229
  260,20140831,  287
  260,20140901,  311
  260,20140902,   40
  260,20140903,   72
  260,20140904,   80
  260,20140905,  349
  260,20140906,  294
  260,20140907,  289
  260,20140908,  320
  260,20140909,  331
  260,20140910,    7
  260,20140911,   22
  260,20140912,   24
  260,20140913,   27
  260,20140914,   36
  260,20140915,   62
  260,20140916,   78
  260,20140917,   98
  260,20140918,  116
  260,20140919,  131
  260,20140920,  321
  260,20140921,  339
  260,20140922,  321
  260,20140923,  214
  260,20140924,  220
  260,20140925,  246
  260,20140926,  235
  260,20140927,  149
  260,20140928,  128
  260,20140929,  186
  260,20140930,  228
  260,20141001,  208
  260,20141002,  341
  260,20141003,  144
  260,20141004,  150
  260,20141005,   16
  260,20141006,  143
  260,20141007,  202
  260,20141008,  175
  260,20141009,  200
  260,20141010,  195
  260,20141011,  180
  260,20141012,   95
  260,20141013,  166
  260,20141014,  189
  260,20141015,  222
  260,20141016,  209
  260,20141017,  207
  260,20141018,  165
  260,20141019,  227
  260,20141020,  243
  260,20141021,  243
  260,20141022,  304
  260,20141023,  205
  260,20141024,  185
  260,20141025,  226
  260,20141026,  209
  260,20141027,  190
  260,20141028,  184
  260,20141029,  201
  260,20141030,  156
  260,20141031,  171
  260,20141101,  189
  260,20141102,  194
  260,20141103,  187
  260,20141104,  184
  260,20141105,  155
  260,20141106,  169
  260,20141107,  163
  260,20141108,  182
  260,20141109,  155
  260,20141110,  183
  260,20141111,  126
  260,20141112,  148
  260,20141113,  135
  260,20141114,  133
  260,20141115,  142
  260,20141116,  200
  260,20141117,  106
  260,20141118,   58
  260,20141119,   85
  260,20141120,  103
  260,20141121,   92
  260,20141122,  147
  260,20141123,  159
  260,20141124,  261
  260,20141125,   85
  260,20141126,  111
  260,20141127,  124
  260,20141128,  100
  260,20141129,   97
  260,20141130,   94
  260,20141201,   64
  260,20141202,   42
  260,20141203,   53
  260,20141204,   83
  260,20141205,  193
  260,20141206,  297
  260,20141207,  219
  260,20141208,  218
  260,20141209,  184
  260,20141210,  224
  260,20141211,  238
  260,20141212,  224
  260,20141213,  220
  260,20141214,  189
  260,20141215,  216
  260,20141216,  236
  260,20141217,  225
  260,20141218,  235
  260,20141219,  256
  260,20141220,  271
  260,20141221,  233
  260,20141222,  239
  260,20141223,  237
  260,20141224,  243
  260,20141225,  269
  260,20141226,  181
  260,20141227,   67
  260,20141228,   26
  260,20141229,  312
  260,20141230,  261
  260,20141231,  231
  260,20150101,  201
  260,20150102,  256
  260,20150103,  231
  260,20150104,  264
  260,20150105,  197
  260,20150106,  185
  260,20150107,  209
  260,20150108,  228
  260,20150109,  237
  260,20150110,  256
  260,20150111,  264
  260,20150112,  222
  260,20150113,  221
  260,20150114,  217
  260,20150115,  203
  260,20150116,  215
  260,20150117,  212
  260,20150118,  195
  260,20150119,  124
  260,20150120,  182
  260,20150121,   95
  260,20150122,   44
  260,20150123,  168
  260,20150124,  244
  260,20150125,  232
  260,20150126,  261
  260,20150127,  274
  260,20150128,  227
  260,20150129,  224
  260,20150130,  244
  260,20150131,  221
  260,20150201,  256
  260,20150202,  267
  260,20150203,  329
  260,20150204,  338
  260,20150205,   45
  260,20150206,   43
  260,20150207,  333
  260,20150208,  340
  260,20150209,  303
  260,20150210,    5
  260,20150211,  123
  260,20150212,  126
  260,20150213,  144
  260,20150214,  118
  260,20150215,   60
  260,20150216,  165
  260,20150217,  291
  260,20150218,  187
  260,20150219,  192
  260,20150220,  195
  260,20150221,  264
  260,20150222,  194
  260,20150223,  213
  260,20150224,  229
  260,20150225,  211
  260,20150226,  171
  260,20150227,  310
  260,20150228,  185
  260,20150301,  230
  260,20150302,  258
  260,20150303,  230
  260,20150304,  278
  260,20150305,  266
  260,20150306,  219
  260,20150307,  196
  260,20150308,  219
  260,20150309,  178
  260,20150310,  320
  260,20150311,  145
  260,20150312,  105
